city,crime,ind_string,value
0,Melgaço,Roubo por esticão e na via pública,0,0
1,Ponte da Barca,Roubo por esticão e na via pública,0,0
2,Amares,Roubo por esticão e na via pública,0,0
3,Terras de Bouro,Roubo por esticão e na via pública,0,0
4,Vieira do Minho,Roubo por esticão e na via pública,0,0
5,Mondim de Basto,Roubo por esticão e na via pública,0,0
6,Arouca,Roubo por esticão e na via pública,0,0
7,Boticas,Roubo por esticão e na via pública,0,0
8,Boticas,Crimes contra o Estado,0,0
9,Ribeira de Pena,Roubo por esticão e na via pública,0,0
10,Valpaços,Roubo por esticão e na via pública,0,0
11,Vila Pouca de Aguiar,Roubo por esticão e na via pública,0,0
12,Castelo de Paiva,Roubo por esticão e na via pública,0,0
13,Baião,Roubo por esticão e na via pública,0,0
14,Cinfães,Roubo por esticão e na via pública,0,0
15,Resende,Roubo por esticão e na via pública,0,0
16,Carrazeda de Ansiães,Roubo por esticão e na via pública,0,0
17,Freixo de Espada à Cinta,Roubo por esticão e na via pública,0,0
18,Freixo de Espada à Cinta,Crimes previstos em legislação avulsa,0,0
19,Freixo de Espada à Cinta,Condução sem habilitação legal,0,0
20,Torre de Moncorvo,Roubo por esticão e na via pública,0,0
21,Alijó,Crimes contra animais de companhia,0,0
22,Mesão Frio,Roubo por esticão e na via pública,0,0
23,Murça,Crimes contra animais de companhia,0,0
24,Murça,Roubo por esticão e na via pública,0,0
25,Peso da Régua,Crimes contra animais de companhia,0,0
26,Sabrosa,Crimes contra animais de companhia,0,0
27,Sabrosa,Roubo por esticão e na via pública,0,0
28,Santa Marta de Penaguião,Roubo por esticão e na via pública,0,0
29,Santa Marta de Penaguião,Crimes contra o Estado,0,0
30,Armamar,Crimes contra animais de companhia,0,0
31,Armamar,Roubo por esticão e na via pública,0,0
32,Penedono,Roubo por esticão e na via pública,0,0
33,Penedono,Crimes contra o Estado,0,0
34,São João da Pesqueira,Roubo por esticão e na via pública,0,0
35,Sernancelhe,Roubo por esticão e na via pública,0,0
36,Tabuaço,Crimes contra animais de companhia,0,0
37,Tabuaço,Roubo por esticão e na via pública,0,0
38,Tarouca,Crimes contra animais de companhia,0,0
39,Tarouca,Roubo por esticão e na via pública,0,0
40,Tarouca,Crimes contra o Estado,0,0
41,Alfândega da Fé,Roubo por esticão e na via pública,0,0
42,Macedo de Cavaleiros,Crimes contra animais de companhia,0,0
43,Macedo de Cavaleiros,Roubo por esticão e na via pública,0,0
44,Miranda do Douro,Roubo por esticão e na via pública,0,0
45,Miranda do Douro,Condução sem habilitação legal,0,0
46,Mogadouro,Crimes contra animais de companhia,0,0
47,Mogadouro,Roubo por esticão e na via pública,0,0
48,Vimioso,Roubo por esticão e na via pública,0,0
49,Vinhais,Roubo por esticão e na via pública,0,0
50,Vinhais,Furto de veículo e em veículo motorizado,0,0
51,Alcoutim,Roubo por esticão e na via pública,0,0
52,Castro Marim,Crimes contra animais de companhia,0,0
53,Monchique,Roubo por esticão e na via pública,0,0
54,Monchique,Crimes contra o Estado,0,0
55,Vila do Bispo,Roubo por esticão e na via pública,0,0
56,Murtosa,Roubo por esticão e na via pública,0,0
57,Vagos,Crimes contra animais de companhia,0,0
58,Condeixa-a-Nova,Roubo por esticão e na via pública,0,0
59,Góis,Crimes contra animais de companhia,0,0
60,Góis,Roubo por esticão e na via pública,0,0
61,Lousã,Roubo por esticão e na via pública,0,0
62,Miranda do Corvo,Roubo por esticão e na via pública,0,0
63,Pampilhosa da Serra,Crimes contra animais de companhia,0,0
64,Pampilhosa da Serra,Roubo por esticão e na via pública,0,0
65,Soure,Crimes contra animais de companhia,0,0
66,Tábua,Crimes contra animais de companhia,0,0
67,Vila Nova de Poiares,Crimes contra animais de companhia,0,0
68,Mortágua,Roubo por esticão e na via pública,0,0
69,Alvaiázere,Roubo por esticão e na via pública,0,0
70,Ansião,Roubo por esticão e na via pública,0,0
71,Castanheira de Pêra,Crimes contra animais de companhia,0,0
72,Castanheira de Pêra,Roubo por esticão e na via pública,0,0
73,Figueiró dos Vinhos,Roubo por esticão e na via pública,0,0
74,Pedrógão Grande,Crimes contra animais de companhia,0,0
75,Pedrógão Grande,Roubo por esticão e na via pública,0,0
76,Carregal do Sal,Roubo por esticão e na via pública,0,0
77,Castro Daire,Roubo por esticão e na via pública,0,0
78,Nelas,Roubo por esticão e na via pública,0,0
79,Oliveira de Frades,Roubo por esticão e na via pública,0,0
80,Penalva do Castelo,Crimes contra animais de companhia,0,0
81,Santa Comba Dão,Roubo por esticão e na via pública,0,0
82,São Pedro do Sul,Roubo por esticão e na via pública,0,0
83,Sátão,Roubo por esticão e na via pública,0,0
84,Vila Nova de Paiva,Roubo por esticão e na via pública,0,0
85,Vila Nova de Paiva,Furto de veículo e em veículo motorizado,0,0
86,Vouzela,Crimes contra animais de companhia,0,0
87,Vouzela,Roubo por esticão e na via pública,0,0
88,Idanha-a-Nova,Roubo por esticão e na via pública,0,0
89,Oleiros,Roubo por esticão e na via pública,0,0
90,Penamacor,Crimes contra o Estado,0,0
91,Proença-a-Nova,Roubo por esticão e na via pública,0,0
92,Vila Velha de Ródão,Roubo por esticão e na via pública,0,0
93,Vila de Rei,Crimes contra animais de companhia,0,0
94,Vila de Rei,Roubo por esticão e na via pública,0,0
95,Constância,Roubo por esticão e na via pública,0,0
96,Ferreira do Zêzere,Roubo por esticão e na via pública,0,0
97,Almeida,Roubo por esticão e na via pública,0,0
98,Figueira de Castelo Rodrigo,Crimes contra animais de companhia,0,0
99,Figueira de Castelo Rodrigo,Roubo por esticão e na via pública,0,0
100,Fornos de Algodres,Roubo por esticão e na via pública,0,0
101,Manteigas,Crimes contra animais de companhia,0,0
102,Manteigas,Roubo por esticão e na via pública,0,0
103,Manteigas,Crimes contra o Estado,0,0
104,Mêda,Roubo por esticão e na via pública,0,0
105,Pinhel,Roubo por esticão e na via pública,0,0
106,Sabugal,Crimes contra animais de companhia,0,0
107,Sabugal,Roubo por esticão e na via pública,0,0
108,Seia,Crimes contra animais de companhia,0,0
109,Trancoso,Roubo por esticão e na via pública,0,0
110,Alcácer do Sal,Roubo por esticão e na via pública,0,0
111,Alvito,Roubo por esticão e na via pública,0,0
112,Barrancos,Roubo por esticão e na via pública,0,0
113,Ferreira do Alentejo,Roubo por esticão e na via pública,0,0
114,Mértola,Crimes contra animais de companhia,0,0
115,Ourique,Roubo por esticão e na via pública,0,0
116,Chamusca,Roubo por esticão e na via pública,0,0
117,Golegã,Crimes contra animais de companhia,0,0
118,Arronches,Roubo por esticão e na via pública,0,0
119,Arronches,Furto de veículo e em veículo motorizado,0,0
120,Arronches,Crimes contra o Estado,0,0
121,Arronches,Condução sem habilitação legal,0,0
122,Avis,Roubo por esticão e na via pública,0,0
123,Castelo de Vide,Crimes previstos em legislação avulsa,0,0
124,Castelo de Vide,Condução sem habilitação legal,0,0
125,Crato,Roubo por esticão e na via pública,0,0
126,Crato,Crimes contra o Estado,0,0
127,Fronteira,Crimes contra animais de companhia,0,0
128,Fronteira,Roubo por esticão e na via pública,0,0
129,Fronteira,Crimes contra o Estado,0,0
130,Gavião,Roubo por esticão e na via pública,0,0
131,Marvão,Crimes contra animais de companhia,0,0
132,Marvão,Roubo por esticão e na via pública,0,0
133,Monforte,Roubo por esticão e na via pública,0,0
134,Nisa,Roubo por esticão e na via pública,0,0
135,Sousel,Roubo por esticão e na via pública,0,0
136,Alandroal,Roubo por esticão e na via pública,0,0
137,Borba,Crimes contra animais de companhia,0,0
138,Borba,Roubo por esticão e na via pública,0,0
139,Mora,Roubo por esticão e na via pública,0,0
140,Mora,Crimes contra o Estado,0,0
141,Mourão,Roubo por esticão e na via pública,0,0
142,Portel,Crimes contra o Estado,0,0
143,Vila Viçosa,Crimes contra animais de companhia,0,0
144,Vila Viçosa,Roubo por esticão e na via pública,0,0
145,Vila do Porto,Crimes contra animais de companhia,0,0
146,Vila do Porto,Roubo por esticão e na via pública,0,0
147,Nordeste,Roubo por esticão e na via pública,0,0
148,Povoação,Roubo por esticão e na via pública,0,0
149,Santa Cruz da Graciosa,Crimes contra animais de companhia,0,0
150,Santa Cruz da Graciosa,Roubo por esticão e na via pública,0,0
151,Santa Cruz da Graciosa,Condução sem habilitação legal,0,0
152,Lajes do Pico,Roubo por esticão e na via pública,0,0
153,Madalena,Roubo por esticão e na via pública,0,0
154,São Roque do Pico,Roubo por esticão e na via pública,0,0
155,Horta,Roubo por esticão e na via pública,0,0
156,Lajes das Flores,Roubo por esticão e na via pública,0,0
157,Lajes das Flores,Condução sem habilitação legal,0,0
158,Santa Cruz das Flores,Roubo por esticão e na via pública,0,0
159,Corvo,Crimes contra animais de companhia,0,0
160,Corvo,Violência doméstica contra cônjuge ou análogos,0,0
161,Corvo,Roubo por esticão e na via pública,0,0
162,Corvo,Crimes contra a vida em sociedade,0,0
163,Corvo,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",0,0
164,Corvo,Crimes contra o Estado,0,0
165,Corvo,Crimes previstos em legislação avulsa,0,0
166,Corvo,Condução sem habilitação legal,0,0
167,Calheta,Roubo por esticão e na via pública,0,0
168,Ponta do Sol,Roubo por esticão e na via pública,0,0
169,Ponta do Sol,Crimes contra o Estado,0,0
170,Ponta do Sol,Condução sem habilitação legal,0,0
171,Porto Moniz,Roubo por esticão e na via pública,0,0
172,Porto Moniz,Furto de veículo e em veículo motorizado,0,0
173,Santana,Crimes contra o Estado,0,0
174,Caminha,Roubo por esticão e na via pública,3,3
175,Ponte da Barca,Condução sem habilitação legal,3,3
176,Valença,Crimes contra animais de companhia,3,3
177,Cabeceiras de Basto,Crimes contra animais de companhia,3,3
178,Cabeceiras de Basto,Crimes contra o Estado,3,3
179,Vale de Cambra,Crimes contra animais de companhia,3,3
180,Porto,Crimes de homicídio voluntário consumado,3,3
181,Vila do Conde,Crimes contra animais de companhia,3,3
182,Trofa,Crimes contra animais de companhia,3,3
183,Boticas,Furto de veículo e em veículo motorizado,3,3
184,Montalegre,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",3,3
