,city,crime,value,latitude,longitude
0,São Roque do Pico,Crimes contra animais de companhia,6,38.52944183,-28.32193947
1,Arcos de Valdevez,Crimes previstos em legislação avulsa,56,41.84728241,-8.41852379
2,Castanheira de Pêra,Crimes contra a integridade física,7,40.0059166,-8.20831013
3,Aguiar da Beira,Crimes contra a integridade física,22,40.81689835,-7.54666567
4,Vila Nova de Paiva,Crimes contra a integridade física,23,40.84923935,-7.730093
5,Abrantes,Crimes contra a integridade física,155,39.46440887,-8.19781876
6,Ferreira do Zêzere,Crimes contra a integridade física,27,39.69324875,-8.29031563
7,Sertã,Crimes contra a integridade física,104,39.80461121,-8.09905434
8,Celorico da Beira,Crimes contra a integridade física,55,40.63592148,-7.39322329
9,Gouveia,Crimes contra a integridade física,62,40.49362564,-7.59372377
10,Loures,Crimes contra a integridade física,1099,38.83023834,-9.16708851
11,Setúbal,Crimes contra a integridade física,746,38.52458572,-8.89315319
12,Vila Franca de Xira,Crimes contra a integridade física,722,38.95428085,-8.98968601
13,Ferreira do Alentejo,Crimes contra a integridade física,98,38.05828857,-8.11643314
14,Ourique,Crimes contra a integridade física,25,37.65102005,-8.22396183
15,Salvaterra de Magos,Crimes contra a integridade física,148,39.02520752,-8.79338455
16,Alto Alentejo,Crimes contra a integridade física,721,39.29000092,-7.42999983
17,Castro Daire,Furto de veículo e em veículo motorizado,8,40.89662933,-7.93545294
18,São Pedro do Sul,Furto de veículo e em veículo motorizado,12,-29.61527252,-54.17903137
19,Torres Novas,Furto de veículo e em veículo motorizado,83,39.47777939,-8.5408926
20,Vila de Rei,Furto de veículo e em veículo motorizado,3,39.6753006,-8.14678764
21,Guarda,Furto de veículo e em veículo motorizado,58,40.53713226,-7.2678504
22,Pinhel,Furto de veículo e em veículo motorizado,3,40.77603912,-7.06289673
23,Trancoso,Furto de veículo e em veículo motorizado,3,-16.59259796,-39.10305023
24,Barreiro,Furto de veículo e em veículo motorizado,277,38.66132736,-9.0758543
25,Odivelas,Furto de veículo e em veículo motorizado,297,38.79262161,-9.18276501
