Fiscal Week Year,AFF,Audio,CTV,Display,Display Dco,Display Mobile,Lead Generation,Other,Social,Video,Total Units
0,2023-W27,0.0,73528.138754,346611.92519,1064101.4611316689,116262.029346996,162098.451257999,0.0,0.0,433881.847459,452002.756407008,62581
1,2023-W28,0.0,62211.07565,305617.545582,1340625.8896649305,130602.282365994,171990.484766,0.0,0.0,520465.223067,518545.560840007,325556
2,2023-W29,0.0,50117.410436,315224.19455200003,1248164.3530942176,118925.513520008,141186.996201,0.0,0.0,518445.35114,515644.942587991,313866
3,2023-W30,0.0,52965.070982,313179.574364,1331233.603613769,124470.209885004,168560.644274001,0.0,0.0,547714.3022,498873.800046992,299899
4,2023-W31,0.0,49733.417871002,308688.400082,1198177.2897780512,157678.316772493,207610.288117881,0.0,0.0,672784.882417,506699.8097005729,350315
5,2023-W32,0.0,46467.334326007,294956.915858,1129229.5683649606,138411.339280994,160448.176448999,0.0,0.0,793482.380682,502308.943522991,318159
6,2023-W33,0.0,56384.379543001,273848.906638,1346377.690402296,128592.6438567976,156750.87330343662,0.0,0.0,599202.044453,468985.3784089929,920034
7,2023-W34,0.0,87234.482438999,326512.100317,1314790.8455628227,155491.82220444,136514.2988502228,0.0,0.0,573035.529767,393585.165797001,270810
8,2023-W35,0.0,67284.800057,309579.998401,1385031.0742982558,103840.60497250171,136019.5866280438,0.0,0.0,560894.9570177135,570225.3454090019,275496
9,2023-W36,0.0,67905.155032998,279580.596448999,1051062.3286087704,44375.3659966898,106719.1778781098,3.345637506,0.0,422093.9371218176,288610.743640995,322972
10,2023-W37,0.0,9600.635509,356626.992983,1269159.842544878,89279.1572820442,132645.3342344352,2.389741076,0.0,713559.202020469,316678.226588996,369402
11,2023-W38,0.0,10102.399242,355374.649883,1147491.9160423789,49881.4810963511,102099.4962334838,42089.075750919,0.0,802399.685649,406879.927469988,293664
12,2023-W39,0.0,9481.643874003,270429.198798001,1223697.0805757535,102825.17693164191,88571.28978379851,85217.688870493,0.0,855860.647105998,379742.1612784449,283550
13,2023-W40,0.0,73684.999571999,217886.313124999,818637.5472652168,68538.036231,139701.012955987,26645.368223202997,0.0,605344.477195001,314635.570057006,290708
14,2023-W41,0.0,62386.433048001,326207.224675001,1120228.3932877965,110382.444323,169640.555235001,40910.747635297994,0.0,831307.701006995,360930.471133993,341820
15,2023-W42,0.0,84865.891109005,294979.973121999,1274014.2747596262,139043.473395,194045.6818799959,40956.907472720995,0.0,931784.298931502,394352.258460995,320082
16,2023-W43,0.0,85413.151270001,286454.775111003,1430921.4529879007,159190.853336,282031.9132369968,40962.080557949,0.0,1849538.057274989,458440.804236997,291553
17,2023-W44,0.0,87135.658332002,274339.473632999,1707247.3437817958,182976.580516001,257754.3643970139,39571.515455557,0.0,1196389.017628997,667517.374165992,430676
18,2023-W45,0.0,58518.862831999,166640.602658002,1058183.1439339393,75794.580524,120520.218290002,38544.26010806699,0.0,269825.161330998,239853.27970601,432409
19,2023-W46,0.0,35345.294180002,173250.901045,751470.0180543535,7058.207403,60114.056676004,36518.79827628,0.0,259016.377132002,77352.437722999,501511
20,2023-W47,0.0,27834.361029,246919.412529,670576.4973138697,1848.165277,22039.833951001,17636.440297734,0.0,324991.15864999697,67822.957064,241809
21,2023-W48,0.0,0.0,158850.946995,615024.0685061503,1741.049008,14175.472217,0.0,0.0,335351.274676006,59552.789369002,178511
22,2023-W49,0.0,0.0,71111.098011002,854873.9648593364,1718.318661,15994.594585,821.525727248,0.0,320021.806347998,88187.88534500099,263402
23,2023-W50,0.0,0.0,79476.463387,873857.4002337827,1714.5758329999999,16614.812687,9282.305583305,0.0,491990.294675002,119004.830059005,334470
24,2023-W51,0.0,0.0,55118.024006,903982.8060364546,1723.464945,16448.124629,11742.704503919,0.0,484182.768105009,131377.294961998,324419
25,2023-W52,0.0,0.0,205499.783533,993551.0827830283,5919.930711999999,22987.008599999,9216.846158684999,0.0,662792.249051993,398773.343920995,288132
26,2023-W53,0.0,0.0,177184.888042,916103.2988611083,6186.356951001,19813.854415997,0.0,0.0,583799.893431994,206209.012428746,315176
27,2024-W01,0.0,55255.099763,297323.140983,764311.4600671863,0.0,123478.281853011,346.8,0.0,523279.574411997,393796.27382699697,471737
28,2024-W02,0.0,68518.495348997,340553.704699998,996587.536002036,0.0,158441.301855002,5869.125,0.0,722804.695804998,486220.155232014,341429
29,2024-W03,0.0,80414.869464,347605.754653999,1140614.525284039,0.0,221209.862355994,4666.95,0.0,950380.854508,477359.36009402503,290997
30,2024-W04,0.0,113483.419354,361973.266228999,901895.1495685967,0.0,122935.93011499,4397.25,0.0,607182.663578,449060.815271001,278202
31,2024-W05,0.0,69510.11799299999,323590.950476998,765695.2303007847,0.0,96713.13573499,4188.675,0.0,440252.93004,406175.486159995,348945
32,2024-W06,0.0,52339.172246999,347775.696787,1052348.9536619785,0.0,193726.18619998,4001.4,0.0,774595.135658,460167.503326003,309583
33,2024-W07,0.0,52047.437105001,338555.628394999,1258826.836599338,0.0,206498.059685989,3880.269,0.0,789821.792227,487332.6967969991,346883
34,2024-W08,0.0,66485.599341001,271936.768486999,1326663.438842562,0.0,159871.138055995,3600.765,0.0,628726.346657,431946.5716340037,299113
35,2024-W09,0.0,70651.905050001,196255.035864002,1297704.8050668128,0.0,143779.791094992,10631.984999999999,0.0,705379.77779,378472.7144909937,841638
36,2024-W10,0.0,50805.462934,207687.67464,1003647.3903366945,0.0,72845.627807991,18618.32,0.0,583131.928206,287372.0879660012,367220
37,2024-W11,0.0,74490.732421,244831.74004,1010665.4320257108,0.0,83853.040159004,38601.333,0.0,682164.877679,349637.4770339949,408632
38,2024-W12,0.0,72543.71941800001,234277.700601,1045193.330613521,0.0,118201.828962997,32981.616,0.0,961891.75898,306924.809352,363590
39,2024-W13,0.0,34089.293878996,152563.746696002,1103003.7019400944,0.0,129165.908770993,7094.148000001,0.0,881950.078587999,415905.269762003,692434
40,2024-W14,0.0,0.0,55190.20241,528808.3080118558,0.0,112726.946673989,6249.914,0.0,299381.244257004,398584.95689518,383433
41,2024-W15,0.0,0.0,121119.846946,714123.6776623135,0.0,114563.611941008,14725.978,0.0,446303.62859400164,378348.1384204,344439
42,2024-W16,0.0,33365.58496,14081.378015999,761009.562772435,0.0,118212.834077003,22169.596,0.0,559689.960396004,393718.15149591,392936
43,2024-W17,0.0,57188.993095999,0.0005,851894.6065171008,0.0,132710.94899,16616.091,0.0,610122.356560006,388777.91484976,529508
44,2024-W18,0.0,42120.280707,0.0,905175.3930640903,0.0,130444.01991102,16830.516,0.0,617157.980714996,377669.51494521,354152
